"Quarter_Year","Category","Count"
"2021 Q2","F2",2056.13
"2021 Q2","F3",1474.99
"2021 Q2","FC",79.67
"2021 Q2","MA",6.77
"2021 Q2","No Active Offense",1
"2021 Q2","S",28.15
"2021 Q3","F1",2052.09
"2021 Q3","F2",2130.58
"2021 Q3","F3",1564.23
"2021 Q3","FC",77.62
"2021 Q3","MA",8.26
"2021 Q3","No Active Offense",1
"2021 Q3","S",27.47
"2021 Q4","F1",2061.15
"2021 Q4","F2",2148.13
"2021 Q4","F3",1595.67
"2021 Q4","FC",76.96
"2021 Q4","MA",9.6
"2021 Q4","No Active Offense",1
"2021 Q4","S",26.8
"2022 Q1","F1",2089.86
"2022 Q1","F2",2128.76
"2022 Q1","F3",1563.4
"2022 Q1","FC",76
"2022 Q1","MA",9.23
"2022 Q1","No Active Offense",1
"2022 Q1","S",26.3
"2022 Q2","F1",2113.77
"2022 Q2","F2",2098.05
"2022 Q2","F3",1542.35
"2022 Q2","FC",76
"2022 Q2","MA",8.63
"2022 Q2","No Active Offense",1
"2022 Q2","S",25.78
"2022 Q3","F1",2130.92
"2022 Q3","F2",2136
"2022 Q3","F3",1551.8
"2022 Q3","FC",75.96
"2022 Q3","MA",9.4
"2022 Q3","No Active Offense",1.28
"2022 Q3","S",24.68
"2022 Q4","F1",2173.07
"2022 Q4","F2",2131.41
"2022 Q4","F3",1565.67
"2022 Q4","FC",75.58
"2022 Q4","MA",9.66
"2022 Q4","No Active Offense",1
"2022 Q4","S",23.36
"2023 Q1","F1",2204.63
"2023 Q1","F2",2154.98
"2023 Q1","F3",1573.14
"2023 Q1","FC",76.27
"2023 Q1","MA",7.29
"2023 Q1","No Active Offense",1.8
"2023 Q1","S",24
"2023 Q2","F1",2237.91
"2023 Q2","F2",2176.91
"2023 Q2","F3",1589.45
"2023 Q2","FC",76.36
"2023 Q2","MA",6.87
"2023 Q2","No Active Offense",0.88
"2023 Q2","S",24
"2023 Q3","F1",2299.46
"2023 Q3","F2",2172
"2023 Q3","F3",1601.58
"2023 Q3","FC",76.65
"2023 Q3","MA",11.36
"2023 Q3","S",24
"2023 Q4","F1",2353.99
"2023 Q4","F2",2205.42
"2023 Q4","F3",1653.85
"2023 Q4","FC",77.74
"2023 Q4","MA",11.16
"2023 Q4","No Active Offense",0.82
"2023 Q4","S",23.8
"2024 Q1","F1",2391.29
"2024 Q1","F2",2229.37
"2024 Q1","F3",1741.18
"2024 Q1","FC",77.09
"2024 Q1","MA",7.24
"2024 Q1","No Active Offense",1
"2024 Q1","S",23
"2024 Q2","F1",2411.41
"2024 Q2","F2",2189.97
"2024 Q2","F3",1688.53
