"Quarter_Year","Category","Count"
"2014 Q2","DRIVING",258.09
"2014 Q2","DRUG POSSESSION ONLY",356.97
"2014 Q2","MURDER",712.31
"2014 Q2","No Active Offense",7.41
"2014 Q2","OTHER",94.48
"2014 Q2","PERSON",1276.7
"2014 Q2","PROPERTY",1432.37
"2014 Q2","SEX/NON-REGISTERABLE",10.53
"2014 Q2","SEX/REGISTERABLE",2204.78
"2014 Q2","WEAPONS",96.36
"2014 Q3","ALCOHOL & DRUG",563.65
"2014 Q3","DRIVING",263.53
"2014 Q3","DRUG POSSESSION ONLY",349.9
"2014 Q3","MURDER",711.79
"2014 Q3","No Active Offense",9.46
"2014 Q3","OTHER",96.67
"2014 Q3","PERSON",1256.88
"2014 Q3","PROPERTY",1439.52
"2014 Q3","SEX/NON-REGISTERABLE",11.33
"2014 Q3","SEX/REGISTERABLE",2203.11
"2014 Q3","WEAPONS",87.97
"2014 Q4","ALCOHOL & DRUG",576.68
"2014 Q4","DRIVING",276.03
"2014 Q4","DRUG POSSESSION ONLY",334.23
"2014 Q4","MURDER",721.26
"2014 Q4","No Active Offense",9.45
"2014 Q4","OTHER",106.05
"2014 Q4","PERSON",1250.8
"2014 Q4","PROPERTY",1421.01
"2014 Q4","SEX/NON-REGISTERABLE",12.37
"2014 Q4","SEX/REGISTERABLE",2199.43
"2014 Q4","WEAPONS",90.82
"2015 Q1","ALCOHOL & DRUG",557.18
"2015 Q1","DRIVING",251.92
"2015 Q1","DRUG POSSESSION ONLY",311.49
"2015 Q1","MURDER",724.81
"2015 Q1","No Active Offense",11.09
"2015 Q1","OTHER",109.88
"2015 Q1","PERSON",1223.41
"2015 Q1","PROPERTY",1379.6
"2015 Q1","SEX/NON-REGISTERABLE",12.53
"2015 Q1","SEX/REGISTERABLE",2186.32
"2015 Q1","WEAPONS",82.5
"2015 Q2","ALCOHOL & DRUG",558.8
"2015 Q2","DRIVING",225.67
"2015 Q2","DRUG POSSESSION ONLY",294.59
"2015 Q2","MURDER",735.29
"2015 Q2","No Active Offense",9.81
"2015 Q2","OTHER",113.04
"2015 Q2","PERSON",1217.34
"2015 Q2","PROPERTY",1340.86
"2015 Q2","SEX/NON-REGISTERABLE",14.47
"2015 Q2","SEX/REGISTERABLE",2178.11
"2015 Q2","WEAPONS",78.69
"2015 Q3","ALCOHOL & DRUG",552.12
"2015 Q3","DRIVING",214.03
"2015 Q3","DRUG POSSESSION ONLY",284.89
"2015 Q3","MURDER",749.45
"2015 Q3","No Active Offense",9.26
"2015 Q3","OTHER",115.53
"2015 Q3","PERSON",1216.73
"2015 Q3","PROPERTY",1305.75
"2015 Q3","SEX/NON-REGISTERABLE",16.03
"2015 Q3","SEX/REGISTERABLE",2165.48
"2015 Q3","WEAPONS",80.65
"2015 Q4","ALCOHOL & DRUG",518.09
"2015 Q4","DRIVING",203.8
"2015 Q4","DRUG POSSESSION ONLY",265.12
"2015 Q4","MURDER",749.93
"2015 Q4","No Active Offense",8.78
"2015 Q4","OTHER",103.72
"2015 Q4","PERSON",1202.82
"2015 Q4","PROPERTY",1266.04
"2015 Q4","SEX/NON-REGISTERABLE",17.51
"2015 Q4","SEX/REGISTERABLE",2147.84
